#,Naam,Material cost,AH prijs,Profit,Margin,AH sales,Score,Ingredients
1,Pulse Ring,114.1K,34.44M,33.64M,29475.9%,65,0.836,8x Orb Of Energy
2,Catacombs Expert Ring,9.70M,33.50M,23.13M,238.5%,39,0.712,8x Wither Catalyst
3,Inferno Minion Fuel,181.7K,5.20M,4.91M,2704.6%,46,0.697,6x Nether Stalk Distillate | 2x Inferno Fuel Block | 1x Fuel Gabagool
4,Inferno Minion Fuel,199.8K,5.20M,4.90M,2450.6%,46,0.695,6x Blaze Rod Distillate | 2x Inferno Fuel Block | 1x Fuel Gabagool
5,Inferno Minion Fuel,200.2K,5.20M,4.90M,2445.4%,46,0.695,6x Glowstone Dust Distillate | 2x Inferno Fuel Block | 1x Fuel Gabagool
6,Inferno Minion Fuel,207.8K,5.20M,4.89M,2352.0%,46,0.695,6x Crude Gabagool Distillate | 2x Inferno Fuel Block | 1x Fuel Gabagool
7,Inferno Minion Fuel,516.8K,5.20M,4.58M,886.1%,46,0.680,6x Nether Stalk Distillate | 2x Inferno Fuel Block | 1x Heavy Gabagool
8,Inferno Minion Fuel,534.9K,5.20M,4.56M,852.7%,46,0.679,6x Blaze Rod Distillate | 2x Inferno Fuel Block | 1x Heavy Gabagool
9,Inferno Minion Fuel,535.3K,5.20M,4.56M,852.0%,46,0.679,6x Glowstone Dust Distillate | 2x Inferno Fuel Block | 1x Heavy Gabagool
10,Inferno Minion Fuel,542.9K,5.20M,4.55M,838.6%,46,0.679,6x Crude Gabagool Distillate | 2x Inferno Fuel Block | 1x Heavy Gabagool
11,Inferno Minion Fuel,581.1K,5.20M,4.51M,777.0%,46,0.678,6x Magma Cream Distillate | 2x Inferno Fuel Block | 1x Fuel Gabagool
12,Magnetic Talisman,43,1.90M,1.86M,4281018.7%,20,0.671,4x Emerald | 1x Redstone
13,Inferno Minion Fuel,916.2K,5.20M,4.18M,456.2%,46,0.668,6x Magma Cream Distillate | 2x Inferno Fuel Block | 1x Heavy Gabagool
14,Prismarine Sinker,853,249.00M,244.02M,28582011.9%,2,0.666,1x Water Lily | 1x Prismarine Crystals | 1x Prismarine Shard
15,Enchanted Clock,2.99M,113.00M,107.75M,3600.3%,9,0.666,2x Enchanted Gold Block | 2x Highlite | 1x Enchanted Redstone Block
16,Night Crystal,134.4K,6.85M,6.58M,4894.9%,25,0.657,4x Enchanted Quartz | 1x Enchanted Quartz Block
17,Day Crystal,134.4K,8.99M,8.68M,6455.4%,20,0.650,4x Enchanted Quartz | 1x Enchanted Quartz Block
18,Enchanted Bookshelf,13.6K,800.0K,770.4K,5652.8%,52,0.645,6x Enchanted Oak Log | 3x Enchanted Paper
19,Juju Shortbow,292.8K,11.33M,10.81M,3692.8%,17,0.636,1x Enchanted Eye Of Ender | 3x Enchanted String | 1x Null Ovoid | 1x Enchanted Quartz Block
20,Sorrow Boots,852.9K,3.60M,2.68M,313.6%,37,0.625,4x Sorrow
21,Everburning Flame,10.48M,17.89M,7.05M,67.3%,29,0.621,4x Flames | 2x Enchanted Red Sand Cube | 2x Enchanted Sulphur Cube | 1x Plasma Bucket
22,Soul Whip,1.35M,8.00M,6.49M,479.0%,22,0.615,3x Ectoplasm | 2x Soul Fragment
23,Launch Pad,9.3K,5.00M,4.89M,52351.5%,13,0.612,8x Enchanted Slime Ball | 1x Enchanted Redstone
24,Gyrokinetic Wand,1.43M,26.00M,24.05M,1679.9%,10,0.607,6x Null Ovoid | 1x Enchanted Eye Of Ender | 2x Enchanted Blaze Rod
25,Melon Chestplate,407.7K,2.60M,2.14M,525.0%,31,0.606,8x Enchanted Melon Block
26,Zombie's Heart,4.2K,417.0K,404.5K,9631.2%,41,0.603,8x Enchanted Rotten Flesh
27,Superior Dragon Helmet,1.23M,6.90M,5.53M,449.8%,20,0.599,5x Superior Fragment
28,Blazetekk™ Ham Radio,3.23M,67.90M,63.31M,1959.6%,6,0.598,6x Molten Powder | 2x Inferno Vertex | 1x Enchanted Redstone Lamp
29,Werewolf Helmet,16.3K,1.80M,1.75M,10690.8%,21,0.598,5x Werewolf Skin
30,Magmafish Hat,1.9K,250.0K,243.1K,12965.9%,46,0.598,8x Magma Fish
31,Silent Pearl,17,500.0K,490.0K,2877001.2%,16,0.592,8x Ender Stone | 1x Ender Pearl
32,Travel Scroll to Deep Caverns,6.9K,380.0K,365.5K,5261.3%,41,0.591,3x Enchanted Redstone | 5x Enchanted Lapis Lazuli | 1x Enchanted Ender Pearl
33,Magical Lava Bucket,350,750.0K,734.6K,209784.8%,19,0.591,3x Iron Ingot | 1x Enchanted Netherrack
34,Mithril Coat,11.9K,500.0K,478.1K,4001.4%,37,0.589,8x Enchanted Mithril
35,Hardened Diamond Leggings,9.3K,99.00M,97.01M,1042481.0%,2,0.588,7x Enchanted Diamond
36,Blaze Talisman,284.1K,4.20M,3.83M,1348.6%,18,0.588,8x Millenia Old Blaze Ashes | 1x Enchanted Blaze Rod
37,Ghoul Buster,446.7K,10.50M,9.84M,2203.7%,11,0.584,2x Ectoplasm | 2x Spooky Shard | 1x Purple Candy
38,Travel Scroll to the Crimson Isle,10.3K,788.0K,761.9K,7403.1%,26,0.581,8x Enchanted Glowstone Dust | 1x Enchanted Ender Pearl
39,Aspect of the End,18.3K,580.0K,550.1K,3002.0%,33,0.580,2x Enchanted Eye Of Ender | 1x Enchanted Diamond
40,Ruby Power Scroll,32.6K,2.00M,1.93M,5913.7%,18,0.580,3x Enchanted Paper | 1x Fine Ruby Gem
