#,Naam,Buy order,Sell offer,Profit/item,Margin,Buy vol/wk,Sell vol/wk,Min vol/wk,Score
1,Enchantment Execute 6,25.14M,270.00M,241.49M,90.7%,149,80,80,0.693
2,Busted Belt Buckle,64.3K,471.1K,400.9K,86.3%,29.7K,25.0K,25.0K,0.687
3,Coal,4,83,77,94.1%,30.16M,487.93M,30.16M,0.671
4,Enchanted Snow Block,208,580,364,64.1%,12.88M,81.32M,12.88M,0.667
5,Shard Cropeetle,6.2K,476.3K,464.1K,98.7%,40.2K,5.3K,5.3K,0.661
6,Fish Bait,140,668,519,79.0%,4.50M,4.90M,4.50M,0.660
7,Winter Fragment,1.00M,5.46M,4.39M,81.7%,1.2K,747,747,0.655
8,Corrupt Soil,234.6K,772.8K,528.6K,69.6%,12.6K,6.5K,6.5K,0.652
9,Shard Draconic,189.1K,367.6K,173.8K,48.5%,38.5K,36.7K,36.7K,0.651
10,Enchantment Strong Mana 4,838.7K,10.00M,9.04M,91.6%,251,311,251,0.651
11,Superior Fragment,139.4K,245.9K,103.4K,43.3%,47.8K,72.5K,47.8K,0.641
12,Shard Kraken,184.0K,285.8K,98.3K,35.6%,96.1K,74.0K,74.0K,0.641
13,Shard Bambuleaf,55.7K,130.0K,72.6K,57.1%,53.6K,34.4K,34.4K,0.639
14,Gloomgourd,1.2K,3.9K,2.7K,69.0%,447.7K,566.4K,447.7K,0.637
15,Glasscorn,1.50M,6.35M,4.77M,76.4%,578,307,307,0.634
16,Enchantment Luck 6,20.0K,452.0K,426.3K,95.6%,2.9K,1.8K,1.8K,0.634
17,Tessellated Ender Pearl,714.9K,4.60M,3.83M,84.5%,1.3K,302,302,0.634
18,Glowy Chum Bait,600,12.0K,11.2K,95.0%,86.5K,50.1K,50.1K,0.632
19,Shard Lava Flame,18.2K,63.6K,44.6K,71.3%,49.9K,25.1K,25.1K,0.632
20,Shard Hideongift,4.3K,500.0K,489.4K,99.1%,9.9K,1.3K,1.3K,0.631
21,Shard Voracious Spider,3.6K,20.0K,16.2K,82.1%,77.9K,43.9K,43.9K,0.630
22,Enchanted Lush Berberis,1.1K,3.3K,2.2K,66.8%,426.5K,766.9K,426.5K,0.630
23,Enchantment Harvesting 6,2.80M,3.66M,816.7K,23.5%,14.2K,21.6K,14.2K,0.629
24,Titanium Ore,96,709,604,86.4%,769.9K,92.79M,769.9K,0.628
25,Fine Opal Gem,2.7K,28.6K,25.5K,90.6%,21.5K,43.6K,21.5K,0.628
26,Shard Mudworm,56.5K,116.0K,58.1K,51.3%,45.7K,30.7K,30.7K,0.627
27,Golden Bounty,22.04M,60.00M,37.21M,63.3%,147,49,49,0.627
28,Pet Cake,15.0K,152.6K,135.7K,90.2%,4.3K,8.4K,4.3K,0.627
29,Titanic Exp Bottle,440.1K,592.0K,144.5K,25.7%,197.7K,51.1K,51.1K,0.626
30,Enchantment Green Thumb 4,3.89M,22.22M,18.05M,82.5%,235,52,52,0.626
31,Shard Abyssal Lantern,17.3K,107.8K,89.2K,84.0%,29.3K,6.9K,6.9K,0.625
32,Nurse Shark Tooth,9.6K,40.0K,29.9K,76.1%,49.7K,22.3K,22.3K,0.624
33,Choconut,1.3K,4.7K,3.4K,73.4%,186.2K,180.2K,180.2K,0.624
34,Strong Fragment,33.0K,59.2K,25.5K,44.2%,76.6K,96.1K,76.6K,0.624
35,Thunderling,900.0K,2.58M,1.64M,65.1%,3.2K,704,704,0.623
36,Shard Soul Of The Alpha,7.0K,41.2K,33.6K,82.9%,49.2K,15.6K,15.6K,0.623
37,Ink Sack:3,1,12,11,92.2%,20.41M,60.94M,20.41M,0.623
38,Shard Newt,105.2K,225.2K,117.2K,53.3%,56.1K,12.0K,12.0K,0.623
39,Enchanted Sand,884,1.7K,783,47.6%,1.63M,1.56M,1.56M,0.622
40,Wither Blood,1.30M,2.20M,876.1K,41.1%,2.9K,3.2K,2.9K,0.621
41,Full Chum Bucket,584,12.5K,11.8K,95.3%,52.3K,28.0K,28.0K,0.620
42,Shard Lord Jawbus,101.1K,362.2K,256.6K,72.1%,4.9K,2.8K,2.8K,0.620
43,Inferno Vertex,265.0K,561.3K,289.3K,52.8%,11.8K,4.6K,4.6K,0.620
44,Nether Stalk,0,13,12,97.0%,14.69M,252.00M,14.69M,0.620
45,Witherbloom,1.8K,5.7K,3.8K,68.5%,149.6K,166.2K,149.6K,0.620
46,Pumpkin Guts,300.0K,522.8K,216.3K,42.6%,9.9K,9.2K,9.2K,0.619
47,Ender Monocle,4.6K,42.0K,36.9K,89.1%,12.2K,10.3K,10.3K,0.619
48,Melon Block,28,349,317,91.9%,1.75M,793.3K,793.3K,0.618
49,Shadevine,1.4K,9.2K,7.7K,84.5%,46.8K,57.1K,46.8K,0.618
50,Rabbit,12,88,74,85.6%,3.34M,4.83M,3.34M,0.617
51,Double Plant,0,9,8,91.8%,21.06M,231.98M,21.06M,0.617
52,Carrot Item,0,8,7,92.8%,23.41M,128.13M,23.41M,0.617
53,Burrowing Spores,253.0K,542.4K,282.6K,53.4%,6.7K,4.1K,4.1K,0.617
54,Scorched Books,12.6K,89.4K,75.7K,85.9%,7.0K,5.1K,5.1K,0.616
55,Shard Salmon,2.6K,5.2K,2.5K,49.2%,498.2K,375.8K,375.8K,0.616
56,Enchanted Magma Cream,844,1.7K,817,49.8%,1.03M,1.33M,1.03M,0.616
57,Terry Snowglobe,672,1.73M,1.71M,100.0%,1.9K,201,201,0.616
58,Enchanted Jungle Log,732,1.3K,548,43.5%,1.95M,2.01M,1.95M,0.616
59,Rekindled Ember Fragment,54.9K,131.2K,74.6K,58.2%,10.8K,10.8K,10.8K,0.615
60,Pet Item Tier Boost Drop,74.00M,159.00M,83.01M,53.5%,23,19,19,0.615
61,Inflatable Jerry,405,7.0K,6.5K,94.2%,38.4K,901.0K,38.4K,0.615
62,Essence Spider,1.1K,1.6K,435,28.6%,5.43M,6.56M,5.43M,0.615
63,Enchantment Transylvanian 5,134.5K,749.3K,605.4K,82.1%,3.6K,722,722,0.614
64,Scourroot,1.2K,6.9K,5.7K,82.7%,54.5K,68.6K,54.5K,0.614
65,Plantboy Advance,3.41M,8.00M,4.49M,57.4%,759,230,230,0.613
66,Enchantment Thunderlord 7,2.74M,5.27M,2.46M,48.0%,904,577,577,0.613
67,Enchantment Green Thumb 1,1.78M,2.22M,412.1K,19.8%,28.5K,18.4K,18.4K,0.613
68,Troubled Bubble,1.00M,6.67M,5.58M,85.0%,157,82,82,0.613
69,Digested Mushrooms,8.3K,16.1K,7.6K,48.6%,117.4K,158.1K,117.4K,0.613
70,Stock Of Stonks,2.07M,2.42M,318.4K,14.4%,43.9K,60.0K,43.9K,0.612
71,Enchantment Lethality 6,36,62.7K,61.9K,99.9%,3.7K,4.6K,3.7K,0.612
72,Null Sphere,503,848,334,40.7%,2.91M,35.56M,2.91M,0.611
73,Golden Powder,12.0K,100.0K,86.7K,88.0%,3.4K,5.3K,3.4K,0.611
74,Enchanted Rabbit,2.7K,3.8K,1.0K,28.1%,2.19M,2.30M,2.19M,0.611
75,Wild Rose,0,9,9,99.0%,12.68M,157.30M,12.68M,0.611
76,Whale Bait,3.2K,4.4K,1.2K,28.0%,3.42M,1.89M,1.89M,0.611
77,Sugar Cane,1,10,8,86.0%,18.62M,135.86M,18.62M,0.611
78,Shard Lumisquid,57.5K,124.1K,65.0K,53.7%,21.8K,11.8K,11.8K,0.610
79,Enchantment Scavenger 5,38.0K,352.6K,310.2K,89.2%,2.5K,970,970,0.610
80,Potato Item,0,7,6,92.1%,18.93M,105.55M,18.93M,0.610
81,Blue Shark Tooth,16.0K,47.9K,31.3K,66.5%,25.4K,13.9K,13.9K,0.609
82,Furball,2,30.0K,29.6K,100.0%,11.2K,6.2K,6.2K,0.608
83,Tender Wood,175,452,271,61.2%,1.33M,13.33M,1.33M,0.608
84,Enchanted Spruce Log,293,799,495,63.2%,708.6K,1.36M,708.6K,0.608
85,Shard Zombie Soldier,5.8K,11.2K,5.3K,48.1%,137.1K,154.2K,137.1K,0.608
86,Seeds,0,3,2,82.1%,48.39M,758.11M,48.39M,0.608
87,Noctilume,1.21M,2.30M,1.06M,47.6%,4.2K,990,990,0.607
88,Worm Bait,780,4.7K,3.8K,83.3%,133.4K,58.1K,58.1K,0.607
89,Shard Quartzfang,78.9K,199.4K,118.1K,60.5%,22.1K,4.5K,4.5K,0.607
90,Mana Disintegrator,1.7K,24.2K,22.2K,93.0%,15.6K,8.8K,8.8K,0.607
91,Shard Invisibug,22.7K,28.5K,5.5K,20.4%,748.8K,723.4K,723.4K,0.606
92,Horseman Candle,368.6K,726.5K,348.8K,49.3%,3.1K,2.5K,2.5K,0.606
93,Shard Coralot,68.0K,91.1K,21.9K,25.3%,176.9K,124.3K,124.3K,0.606
94,Shard Bruiser,7.8K,14.2K,6.3K,45.2%,158.5K,121.3K,121.3K,0.606
95,Shard Kada Knight,4.4K,15.0K,10.4K,70.9%,70.8K,29.2K,29.2K,0.605
96,Raw Chicken,15,75,59,79.6%,2.79M,4.11M,2.79M,0.605
97,Enchantment Strong Mana 5,2.16M,2.95M,752.5K,26.8%,5.5K,4.0K,4.0K,0.605
98,Creambloom,211.5K,380.0K,163.8K,44.4%,20.7K,5.8K,5.8K,0.605
99,Wet Book,150.0K,326.2K,172.2K,54.0%,4.5K,3.7K,3.7K,0.605
100,Weak Wolf Catalyst,90.0K,483.2K,387.1K,81.4%,732,1.1K,732,0.604
101,Enchantment Ferocious Mana 5,280.0K,519.2K,232.7K,46.1%,3.7K,4.3K,3.7K,0.604
102,Mycel,2,29,27,92.2%,4.03M,14.01M,4.03M,0.604
103,Shard Birries,2.7K,6.0K,3.2K,55.1%,164.6K,134.9K,134.9K,0.604
104,Dark Orb,72.5K,170.4K,95.8K,57.5%,5.3K,6.7K,5.3K,0.604
105,Shard Yog,20.0K,49.8K,29.2K,59.9%,43.3K,14.2K,14.2K,0.603
106,Ghast Tear,50,253,200,80.2%,834.7K,796.6K,796.6K,0.603
107,Hot Bait,51,199,146,74.4%,1.54M,1.23M,1.23M,0.603
108,Spooky Bait,0,529,522,99.9%,647.7K,205.1K,205.1K,0.602
109,Reheated Gummy Polar Bear,178.5K,550.0K,364.6K,67.5%,12.5K,1.0K,1.0K,0.602
110,Slime Ball,39,59,20,34.8%,36.41M,40.38M,36.41M,0.602
111,Medium Enchanted Chest,1.3K,16.8K,15.3K,92.2%,16.9K,10.1K,10.1K,0.602
112,Beating Heart,1.1K,13.6K,12.3K,92.1%,12.3K,12.7K,12.3K,0.602
113,Shard Endstone Protector,345.8K,533.2K,180.7K,35.1%,7.5K,7.3K,7.3K,0.601
114,Enchanted Raw Chicken,543,899,344,39.6%,1.89M,4.73M,1.89M,0.601
115,Super Magic Mushroom Soup,6.5K,19.9K,13.2K,67.5%,103.4K,21.3K,21.3K,0.601
116,Enchantment Ultimate Chimera 3,50.00M,199.00M,146.51M,74.9%,21,3,3,0.601
117,Duskbloom,544.0K,850.0K,295.4K,36.0%,25.3K,4.3K,4.3K,0.601
118,Chyme,400.0K,4.00M,3.55M,90.0%,203,64,64,0.600
119,Flawless Sapphire Gem,2.32M,3.00M,644.0K,22.7%,14.2K,5.2K,5.2K,0.600
120,Magma Cream Distillate,3.8K,76.1K,71.3K,95.0%,4.1K,2.1K,2.1K,0.600
121,Jerry Box Purple,88.9K,265.3K,173.1K,66.5%,6.4K,2.0K,2.0K,0.600
122,Enchantment Growth 6,3.17M,4.29M,1.07M,26.1%,5.3K,2.4K,2.4K,0.600
123,Golden Plate,1.19M,1.53M,315.0K,21.9%,17.3K,10.7K,10.7K,0.600
124,Raw Soulflow,203,535,324,61.9%,751.7K,1.24M,751.7K,0.600
125,Enchantment Piscary 6,563.0K,3.58M,2.97M,84.3%,570,82,82,0.599
126,Enchantment Critical 6,1.0K,52.8K,51.2K,98.1%,4.6K,2.6K,2.6K,0.599
127,Magmag,23,1.8K,1.7K,98.7%,58.1K,70.9K,58.1K,0.599
128,Shard Ent,1.9K,8.9K,6.9K,78.2%,80.8K,26.0K,26.0K,0.599
129,Pork,47,160,110,70.1%,1.49M,2.61M,1.49M,0.598
130,Hemobomb,142.0K,272.5K,127.1K,47.9%,6.9K,4.7K,4.7K,0.598
131,Mangrove Gem,51.1K,356.8K,301.2K,85.7%,5.5K,632,632,0.598
132,Shard Strider Surfer,2.8K,9.0K,6.1K,69.3%,75.6K,36.1K,36.1K,0.598
133,Calcified Heart,14.0K,67.7K,52.9K,79.3%,4.0K,3.7K,3.7K,0.598
134,Shard King Minos,425.0K,1.65M,1.20M,74.2%,3.5K,231,231,0.598
135,Wise Fragment,30.3K,46.1K,15.2K,34.3%,64.7K,93.2K,64.7K,0.598
136,Enchantment Ultimate Fatal Tempo 2,600.0K,220.00M,216.65M,99.7%,0,0,0,0.598
137,Fine Flour,4.5K,7.1K,2.5K,36.6%,354.0K,293.8K,293.8K,0.597
138,Flawless Topaz Gem,1.60M,2.35M,727.2K,32.2%,3.5K,2.0K,2.0K,0.597
139,Enchantment Pesterminator 2,7.6K,500.0K,486.2K,98.5%,295,290,290,0.597
140,Goblin Egg Green,5.5K,10.0K,4.4K,45.2%,112.2K,216.6K,112.2K,0.597
141,Soggybud,55.9K,101.9K,44.7K,45.1%,27.7K,13.0K,13.0K,0.597
142,Enchantment Paleontologist 1,128.6K,282.8K,150.6K,54.5%,2.9K,3.4K,2.9K,0.597
143,Ice Hunk,379,1.0K,630,62.9%,343.2K,1.31M,343.2K,0.597
144,Shard Magma Slug,2.3K,7.7K,5.3K,70.1%,71.7K,37.8K,37.8K,0.597
145,Shard Hideonbox,1.30M,2.35M,1.02M,44.6%,3.1K,719,719,0.596
146,Lava Shell,175.7K,361.2K,181.1K,51.4%,2.7K,2.9K,2.7K,0.596
147,Glacite Shard,6.3K,54.1K,47.2K,88.4%,4.2K,3.0K,3.0K,0.596
148,Spirit Decoy,758.5K,1.76M,978.4K,56.9%,883,450,450,0.596
149,Enchantment Reflection 1,64.1K,530.0K,459.3K,87.9%,633,371,371,0.596
150,Flowering Bouquet,10.5K,40.7K,29.7K,74.2%,6.6K,18.2K,6.6K,0.596
151,Half Eaten Mushroom,1.4K,2.4K,1.0K,43.9%,438.0K,646.9K,438.0K,0.596
152,Honey Jar,11.3K,15.5K,4.0K,27.1%,330.5K,403.8K,330.5K,0.596
153,Shard Toad,2.9K,113.5K,109.1K,97.4%,10.1K,1.1K,1.1K,0.595
154,Magic Jellybean,17.7K,69.0K,50.4K,74.3%,10.0K,3.9K,3.9K,0.595
155,Enchantment Turbo Mushrooms 1,2,14.6K,14.4K,100.0%,6.8K,14.2K,6.8K,0.595
156,Enchanted Clay Ball,438,692,245,36.6%,2.35M,5.88M,2.35M,0.595
157,Log:3,2,19,17,87.0%,4.65M,9.90M,4.65M,0.595
158,Dungeon Chest Key,389.4K,524.9K,128.9K,25.8%,14.1K,14.6K,14.1K,0.595
159,Large Pig Ear,1.00M,2.50M,1.47M,60.0%,375,260,260,0.595
160,Magma Chunk,341,1.1K,747,69.0%,221.9K,812.3K,221.9K,0.595
161,Control Switch,167.0K,256.6K,86.3K,34.9%,10.9K,32.3K,10.9K,0.595
162,Enchantment Turbo Warts 1,54,20.0K,19.7K,99.7%,5.0K,13.8K,5.0K,0.595
163,Kada Lead,10.4K,16.0K,5.4K,34.8%,168.8K,145.2K,145.2K,0.595
164,Ashwreath,1.2K,2.1K,899,43.5%,477.9K,1.05M,477.9K,0.595
165,Twilight Arrow Poison,1.3K,2.0K,700,36.4%,1.21M,867.4K,867.4K,0.595
166,Compact Ooze,27.6K,63.0K,34.6K,56.2%,9.4K,10.5K,9.4K,0.594
