rank,name,requires,input_cost,output_value,volume,profit,score,materials
184,Wheat,,0.0,6.0,662700000.0,6.0,0.5,1x Hay Block
177,Enchanted Melon Slice,Melon Slice IV,48.0,320.0,281500000.0,272.0,0.2124,160x Melon
171,Enchanted Potato,Potato IV,160.0,478.0,187900000.0,318.0,0.1418,160x Potato Item
147,Enchanted Nether Wart,Nether Wart IV,144.0,640.0,166600000.0,496.0,0.1257,160x Nether Stalk
173,Enchanted Seeds,Seeds III,166.0,477.0,146300000.0,311.0,0.1104,160x Seeds
153,Enchanted Wheat,Wheat V,560.0,986.0,131199999.99999999,426.0,0.099,160x Wheat
156,Enchanted Carrot,Carrot IV,112.0,525.0,97700000.0,413.0,0.0737,160x Carrot Item
158,Enchanted Snow Block,,176.0,580.0,81200000.0,404.0,0.0613,160x Snow Block
137,Enchanted Red Mushroom,Mushroom VI,930.0,1600.0,72600000.0,667.0,0.0548,160x Red Mushroom
134,Enchanted Brown Mushroom,Mushroom VI,928.0,1600.0,61300000.0,678.0,0.0463,160x Brown Mushroom
154,Enchanted Sugar,Sugar Cane IV,272.0,690.0,60200000.0,418.0,0.0454,160x Sugar Cane
132,Enchanted Pumpkin,Pumpkin III,998.0,1700.0,38300000.0,687.0,0.0289,160x Pumpkin
129,Enchanted Mithril,Mithril III,640.0,1400.0,22400000.0,803.0,0.0169,160x Mithril Ore
145,Enchanted Hard Stone,Hard Stone III,58.0,654.0,19100000.0,596.0,0.0144,576x Hard Stone
183,Snow Block,,0.0,8.0,15000000.0,8.0,0.0113,4x Snow Ball
139,☘ Flawed Peridot Gemstone,,336.0,998.0,14000000.0,662.0,0.0106,80x Rough Peridot Gem
152,Enchanted String,String IV,192.0,625.0,13700000.0,433.0,0.0103,160x String
141,☘ Flawed Jade Gemstone,Gemstone II,108.0,755.0,12900000.0,646.0,0.0097,80x Rough Jade Gem
167,✎ Flawed Sapphire Gemstone,Gemstone II,144.0,481.0,12500000.0,337.0,0.0094,80x Rough Sapphire Gem
